ABB,Capitale,Somma di Decessi totali da omicidio,Somma di Somma di pop.Popolazione,Stato
AK,Juneau,59,29145505,Alaska
AL,Montgomery,348,39538223,Alabama
AR,Little Rock,128,26094967,Arkansas
Az,Phoenix,309,21538187,Arizona
CA,Sacramento,2,13002700,California
CO,Denver,176,10711908,Colorado
CT,Hartford,117,10439388,Connecticut
DE,Dover,63,8631393,Delaware
FL,Tallahassee,1,7705281,Florida
GA,Atlanta,615,7151502,Georgia
HI,Honolulu,19,7029917,Hawaii
IA,Des Moines,72,6154913,Iowa
ID,Boise,32,6910840,Idaho
IL,Springfield,744,6785528,Illinois
IN,Indianapolis,373,6177224,Indiana
KS,Topeka,128,26094967,Kansas
KY,Frankfort,209,5773714,Kentucky
LA,Baton Rouge,481,5706494,Louisiana
MA,Boston,128,4657757,Massachusetts
MD,Annapolis,516,5024279,Maryland
ME,Augusta,23,5118425,Maine
MI,Lansing,571,4505836,Michigan
MN,Saint Paul,133,4237256,Minnesota
MO,Jefferson City,502,3605944,Missouri
MS,Jackson,259,3959353,Mississippi
MT,Helena,36,3271616,Montana
NE,Lincoln,62,3190369,Nebraska
NH,Concord,14,3011524,New Hampshire
NJ,Trenton,363,2961279,New   Jersey
NV,Carson City,178,3104614,Nevada
NY,Albany,609,2937880,New York
OH,Columbus,500,1961504,Ohio
OK,Oklahoma City,234,1839106,Oklahoma
OR,Salem,99,1793716,Oregon
PA,Harrisburg,658,1455271,Pennsylvania
RI,Providence,,1377529,Rhode Island
TN,Nashville,406,1362359,Tennessee
TX,Austin,1,1097379,Texas
UT,Salt Lake City,54,1084225,Utah
VA,Richmond,383,886667,Virginia
VT,Montpelier,10,989948,Vermont
WA,Olympia,211,733391,Washington
WI,Madison,240,643077,Wisconsin
WY,Cheyenne,16,576851,Wyoming
